,Unnamed: 0,texts,questions,answers,urls
35311,35311,"This Scheme is co-funded by the Government of Ireland and the European Union through the EU Just Transition Fund programme. This programme supports projects in the EU Just Transition Fund Territory, consisting of Laois, Longford, Offaly, Westmeath, Roscommon and the Municipal Districts of Ballinasloe (Co Galway), Athy, Clane-Maynooth, (Co Kildare) and Carrick-on-Suir and Thurles (Co Tipperary).
In this first call, funding of up to €15 million will be available, through Pobal, to projects aligned with the eight Local Economic and Community Plans in the Territory, with a further €9 million available for strategic flagship projects aligned with the relevant Regional Enterprise Plans.
Cathaoirleach of the Eastern and Midland Regional Assembly, Councillor Kate Feeney said:",How much funding will be available in the first call?,"In the first call, funding of up to €15 million will be available.",https://www.gov.ie/en/press-release/874ab-minister-ryan-launches-new-24-million-fund-to-further-support-the-just-transition-in-the-midlands-region/
57502,57502,"2. In her application form, the applicant states that between [ ] and [ ] the applicant was sexually assaulted on [ ] occasions in [ ] by [ ], and as a result experienced significant mental trauma, and a period of hospitalisation. The applicant stated that she was forced to give up work, and it was not until in more recent years she was able to inform her husband and the authorities about her experiences. The applicant informed Gardai of these incidents in [ ]. 
3. In a Report to the Tribunal dated [ ], Detective Garda [ ] reported that the applicant was sexually assaulted and on a number of occasions between January [ ] and March [ ] in various addresses in [ ] including her home, and was raped by him on at least one occasion in that period. The applicant reported that the same person stalked her, and held her against her will at an address in [ ], [ ]. She stated that a formal statement of complaint was made on [ ]",When did the applicant inform Gardai about the incidents?,The text does not provide information about when the applicant informed Gardai about the incidents.,https://www.gov.ie/en/publication/c6c2d-53871-1-may-2022/
289008,289008,"In other words, while membership of the European Union was a necessary condition for Ireland’s economic convergence, it was not sufficient. What also mattered were the discreet policy choices made in Ireland by successive Governments such as those to progressively open up the economy to free trade, attract foreign direct investment including through use of the tax system, and invest in human capital by means of free education.
In the future, in an ever closer Union, our capacity to exploit the full opportunities of the EU and the Single Market will significantly depend on our level of influence among the 27 member states.
This is why a key priority since 2016 has been to strengthen our other bilateral relationships within the EU. 
We have been working hard to build productive and mutually beneficial relations with our colleagues across EU Member States.",What were the discreet policy choices made by successive Governments in Ireland?,"The discreet policy choices made by successive Governments in Ireland include progressively opening up the economy to free trade, attracting foreign direct investment through the tax system, and investing in human capital through free education.",https://www.gov.ie/en/speech/3363ae-speech-by-the-minister-for-finance-public-expenditure-and-reform-pas/
146845,146845,"Speaking after his visit to the Great Blasket and attending the commemoration, the Taoiseach said:
“The Blasket Islands are one of the most beautiful places in Ireland and are a priceless cultural asset. I really don't know why I hadn't made the trip before now. Visiting the Great Blasket is like stepping into a different time and place. It's living history and heritage. It’s essential that we preserve the island and its villages, as an irreplaceable legacy, and a unique tourism asset. The OPW is conducting essential work to conserve and protect the Great Blasket so that visitors, whether from Ireland or overseas, can appreciate the astonishing beauty and heritage of these islands, and the richness of their culture. Our focus now is on improving the landing facilities on the island and the Island itself, in a way that protects nature and wildlife.”",What work is the OPW conducting on the Great Blasket?,"The OPW (Office of Public Works) is conducting essential work to conserve and protect the Great Blasket. The focus is on improving the landing facilities on the island and the island itself, while ensuring the protection of nature and wildlife.",https://www.gov.ie/en/press-release/e8ef7-taoiseach-visits-an-blascaod-mor-and-attends-the-annual-ceiliuradh-an-bhlascaoid/
268971,268971,"Irish National Stud 
Irish Prison Service 
Irish Rail 
Irish Research Council 
Irish Treaty Series 
Irish Water 
Irish Water Safety 
Irish Youth Justice Service 
Kerry County Council 
Kerry Education and Training Board 
Kildare and Wicklow Education and Training Board 
Kildare County Council 
Kilkenny and Carlow Education and Training Board 
Kilkenny County Council 
Laois and Offaly Education and Training Board 
Laois County Council 
Legal Aid Board 
Legal Practitioners Disciplinary Tribunal 
Legal Services Regulatory Authority 
Leitrim County Council 
Letterkenny Institute of Technology 
Limerick and Clare Education and Training Board 
Limerick City and County Council 
Limerick Institute of Technology 
Local Government Management Agency (LGMA) 
Longford and Westmeath Education and Training Board 
Longford County Council 
Louth and Meath Education and Training Board 
Louth County Council 
Léargas (Exchange Bureau) 
Marine Casualty Investigation Board 
Marine Institute (Foras na Mara)",Which organization is responsible for managing the Irish prison system?,The organization responsible for managing the Irish prison system is the Irish Prison Service.,https://www.gov.ie/en/search/?type=general_publications&organisation=department-of-justice&page=14
225004,225004,"Ireland's new National Plan on CSR is an action-orientated plan aimed at supporting businesses and organisations of all sizes and all sectors to adopt responsible business practices. This is intended to improve the competitiveness and the ability to attract talent of businesses operating in Ireland while fostering social cohesion and protecting the environment.
Towards Responsible Business: Ireland’s National Plan on Corporate Social Responsibility 2017-2020
This plan sets out a range of actions that will help to deliver our vision of an Ireland that is recognised as a Centre of Excellence for responsible and sustainable business practice through the adoption and implementation of best practice in CSR in enterprises and organisations.",What is the purpose of Ireland's new National Plan on CSR?,The purpose of Ireland's new National Plan on CSR is to support businesses and organizations in adopting responsible business practices.,https://www.gov.ie/en/publication/f4e9f4-towards-responsible-business-irelands-national-plan-on-corporate-soc
171604,171604,"29 September 2023; Department of the Environment, Climate and Communications; Press release; 
NCSC and An Garda Síochána team up with the European Cyber Agency (ENISA) to promote awareness of cyber scams 
28 September 2023; Department of the Environment, Climate and Communications; Press release; 
Minister Ryan welcomes first meeting of new Just Transition Taskforce 
27 September 2023; Department of the Environment, Climate and Communications; Press release; 
Minister Ryan welcomes continued acceleration of renewables as provisional results of third RESS auction announced 
27 September 2023; Department of the Environment, Climate and Communications; Press release; 
Minister Ryan attends United Nations General Assembly High-Level Week 
19 September 2023; Department of the Environment, Climate and Communications; Press release; 
Minister Ryan provides almost €3 million to support climate action in Donegal, Galway, Mayo and Sligo",What is the significance of the provisional results of the third RESS auction?,The provisional results of the third RESS auction indicate a continued acceleration of renewables.,https://www.gov.ie/en/search/?type=press_releases&organisation=department-of-the-environment-climate-and-communications&page=1
327728,327728,"Likewise, records in regard to all persons sought for arrest and surrender for extradition across Europe will be automatically checked each time a member of An Garda Síochána conducts a name search on the Garda PULSE system or when a member of the Immigration Service of the Department of Justice conducts a passport scan at a point of entry to Ireland. There were over 40,000 alerts on SIS II for persons wanted for arrest at the end of 2019. Automated and integrated SIS II searches will assist in locating any of these people who may be in this country.
There are currently 30 countries connected to SIS – 26 EU member states and 4 associated Schengen countries (Switzerland, Norway, Lichtenstein, and Iceland).",What is the purpose of checking records in regard to all persons sought for arrest and surrender for extradition across Europe?,The purpose of checking records is to assist in locating any persons wanted for arrest or surrender for extradition who may be in Ireland.,https://www.gov.ie/en/press-release/5dc00-minister-mcentee-and-commissioner-harris-welcome-irelands-connection-to-schengen-information-system-sis-ii/
315752,315752,"News 
From IDA Ireland; Department of Enterprise, Trade and Employment 
Published on 29 September 2022
Last updated on 1 October 2022
Comar has announced multi-million euro expansion plans for its Ireland-based affiliate – Automatic Plastics Limited (APL) located in Tinahely, Co. Wicklow. The initiative is expected to result in the creation of approximately 80 new jobs over the next 3 years and is great news for a community already celebrating APL’s 50th anniversary as a local employer and community partner.
The project is supported by the Irish Government through IDA Ireland.
Tánaiste and Minister for Enterprise, Trade and Employment, Leo Varadkar, said:",What is Leo Varadkar's role in the project?,"Leo Varadkar is the Tánaiste and Minister for Enterprise, Trade and Employment, and he has expressed his support for the project.",https://www.gov.ie/en/news/ae5c1-automatic-plastics-limited-a-comar-company-celebrates-50-years-in-tinahely-co-wicklow-with-multi-million-euro-expansion-plans-and-creation-of-up-to-80-new-jobs/
134956,134956,"External Oversight Body of the Defence Forces 
Financial Services and Pensions Ombudsman (FSPO) 
Fingal County Council 
Food Safety Authority of Ireland (FSAI) 
Food Safety Promotion Board (safefood) 
Foras na Gaeilge - An Foras Teanga (The Language Body) 
Forensic Science Ireland 
Fáilte Ireland 
Gaisce (President's National Challenge Award) 
Galway and Roscommon Education and Training Board 
Galway City Council 
Galway County Council 
Galway-Mayo Institute of Technology 
Garda Inspectorate 
Garda Ombudsman 
Gender Equality 
Grangegorman Development Agency 
Health and Safety Authority 
Health and Social Care Professionals Council 
Health Information and Quality Authority (HIQA) 
Health Insurance Authority 
Health Products Regulatory Authority (HPRA) 
Health Research Board (HRB) 
Health Service Executive 
Health Service National Partnership Forum (Lenus) 
Healthy Ireland 
Higher Education Authority (HEA) 
Horse Racing Ireland (HRI) 
Horse Sport Ireland 
Housing Agency",What is the role of the Housing Agency?,"The Housing Agency plays a role in the development and implementation of housing policy in Ireland, aiming to improve the availability and affordability of housing.",https://www.gov.ie/en/search/?page=1
388720,388720,"The judge may give the judgment in the case at the end of the trial or they may ""reserve"" the judgment. When a judgment is reserved, the judge will take time to consider the case and then at some later stage deliver the judgment.
If there is a jury
If there is a jury in the case, it is usually the jury that decides the outcome of the case.
The judge provides guidance to the jury and makes sure that the trial is run properly. The jury in a criminal trial has the very important function of deciding whether the person accused of the crime is guilty or not guilty.
You can read more about the role of the jury in the courtroom.
Appointment of judges
Judges in Ireland are appointed by the President acting on the advice of the Government.
In most cases, the Government decides who to appoint as a judge after it has been advised by the Judicial Appointments Advisory Board. This Board identifies and informs the Government about suitable barristers and solicitors who have applied for the job.",Who advises the Government on suitable candidates for judge positions?,The Judicial Appointments Advisory Board advises the Government on suitable barristers and solicitors who have applied for judge positions.,https://www.citizensinformation.ie/en/justice/courtroom/judge/
380889,380889,"Introduction 
You bought from a garage or car dealer 
You bought under a finance agreement 
You bought at an auction 
You bought from a private seller 
Situations not covered by law 
Taking your complaint further 
More information 
Introduction
When you buy a used car from a trader (a car dealer, garage or a business selling on an online marketplace), you have similar consumer rights as when buying a new car.
You can expect the car to meet certain conditions of quality and durability and match what was set out in the contract. While you can’t expect a used car to be the same standard as a new one, the quality should reflect the price you paid. If you buy at an auction you don’t have the same rights if the car is 'sold as seen'. Check the auction's conditions of sale before you buy.
If you buy from a private seller, you also have fewer legal rights. This is because consumer law applies to contracts between a trader and a consumer and does not cover consumer-to-consumer deals.",What legal rights do you have when buying from a private seller?,"When buying from a private seller, you have fewer legal rights compared to buying from a trader. This is because consumer law applies to contracts between a trader and a consumer, and not to consumer-to-consumer deals.",https://www.citizensinformation.ie/en/consumer/cars/problem-with-a-used-car/
250159,250159,"The Peace Campus project has the over-arching goal of providing a safe space for people across this community to come and share their stories. In providing such a forum, Monaghan County Council will be actively fostering real connection at a local level.
This is but one example of how our County Museums, Archives and Libraries have played a central role throughout the Decade of Centenaries. They have led the way within their communities in delving into, interpreting and presenting the stories of 100 years ago.
I would like at this point to also acknowledge the role played by the Expert Advisory Group on Centenary Commemorations, several of whose members, Chair, Dr Maurice Manning, Deputy Chair, Dr Martin Mansergh, Professor Mary Daly and Dr. Éamon Phoenix are with us this morning. They have played a key role in shaping not only this seminar, but the entire programme of nationwide remembrance.","What role have County Museums, Archives, and Libraries played in the Decade of Centenaries?","County Museums, Archives, and Libraries have played a central role in delving into, interpreting, and presenting the stories of 100 years ago within their communities.",https://www.gov.ie/en/speech/8ea90-speech-by-taoiseach-micheal-martin-td-at-experiences-of-border-minority-communities-historical-perspectives-monaghan-county-museum/
345269,345269,"- David Stanton TD, Minister of State for Equality, Immigration and Integration, Ireland
""We firmly believe that we must search for creative and innovative ways to boost our humanitarian support to refugees and the countries that are receiving and assisting people in need of protection. Private or community sponsorship is based on an extraordinary commitment by civil society, faith-based organizations, the business sector and government, working together to give a helping hand to those who have been forcibly uprooted. Argentina will not turn its back on the current refugee crisis and will work hand in hand with other countries to help resolve it. We are working with the UNHCR, the IOM and the support of various countries and players within the international community to increase protection capacity for people in need.""
- Rogelio Frigerio, Minister of the Interior, Public Works and Housing, Argentina","Who is the Minister of the Interior, Public Works and Housing in Argentina?","The Minister of the Interior, Public Works and Housing in Argentina is Rogelio Frigerio.",https://www.gov.ie/en/press-release/cc4234-ministers-flanagan-and-stanton-welcome-new-community-based-refugee-s/
